Categorías,Total,Todos los años
Ingeniería mecánica/Máquinas textiles y papeleras,474,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 2, 1, 9, 0, 2, 8, 5, 6, 5, 10, 4, 14, 13, 5, 5, 2, 5, 5, 22, 8, 0, 1, 0, 15, 2, 20, 3, 2, 5, 14, 0, 34, 2, 3, 11, 10, 26, 2, 4, 9, 21, 7, 4, 32, 10, 1, 6, 4, 13, 8, 5, 3, 6, 8, 4, 3, 2, 3, 6, 1, 12, 2, 5, 2, 1, 1]"
Otros campos/Otros bienes de consumo,304,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 1, 4, 0, 3, 3, 0, 0, 0, 4, 1, 1, 6, 16, 8, 7, 3, 1, 3, 9, 0, 0, 4, 14, 2, 1, 2, 2, 3, 17, 0, 32, 2, 3, 1, 3, 2, 1, 0, 0, 3, 4, 3, 54, 6, 3, 13, 4, 4, 0, 3, 2, 3, 2, 1, 2, 4, 6, 9, 0, 8, 0, 0, 4, 0, 0]"
"Química/Tecnología de superficies, recubrimiento",269,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 1, 6, 1, 3, 3, 0, 0, 1, 12, 1, 0, 3, 3, 1, 5, 3, 0, 1, 3, 0, 0, 6, 7, 4, 17, 1, 0, 3, 1, 0, 33, 0, 3, 8, 3, 2, 10, 2, 0, 4, 3, 4, 31, 11, 7, 0, 7, 5, 3, 1, 14, 3, 4, 1, 1, 1, 6, 3, 1, 1, 0, 5, 1, 1, 0]"
"Otros campos/Mobiliario, juegos",217,"[0, 0, 1, 2, 0, 0, 0, 0, 1, 2, 0, 0, 0, 3, 1, 1, 2, 1, 0, 0, 0, 1, 6, 0, 0, 0, 0, 3, 1, 3, 4, 4, 1, 4, 0, 0, 0, 1, 1, 5, 13, 2, 2, 3, 4, 1, 0, 2, 7, 1, 1, 8, 5, 6, 7, 0, 5, 6, 5, 11, 0, 4, 7, 0, 7, 0, 0, 19, 1, 4, 4, 2, 3, 2, 2, 4, 1, 1, 3, 4, 0, 0, 0, 6, 1, 2, 0, 0, 1, 1, 1]"
Química/Química de materiales básicos ,150,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 9, 0, 3, 1, 0, 2, 1, 0, 1, 0, 2, 8, 7, 0, 0, 0, 2, 0, 0, 0, 2, 1, 5, 29, 0, 23, 1, 4, 2, 2, 1, 1, 4, 4, 2, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 10, 4, 4, 0]"
Ingeniería mecánica/Otras máquinas especiales,142,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 1, 6, 1, 0, 1, 0, 0, 0, 3, 0, 11, 3, 6, 5, 9, 3, 0, 1, 1, 0, 0, 0, 0, 2, 1, 0, 0, 4, 10, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 3, 1, 19, 3, 2, 0, 1, 3, 1, 0, 18, 3, 0, 0, 0, 0, 0, 1, 0, 2, 3, 1, 2, 0, 1]"
Ingeniería mecánica/Transporte,101,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 4, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 19, 0, 0, 7, 0, 0, 1, 0, 1, 0, 2, 0, 0, 1, 11, 0, 0, 0, 0, 2, 1, 3, 2, 0, 1, 4, 1, 1, 14, 3, 0, 3, 0, 1, 2, 2, 3, 0, 0, 2, 1, 0, 0]"
"Química/Química macromolecular, polímeros",87,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 5, 0, 1, 1, 0, 3, 2, 5, 0, 0, 0, 1, 2, 10, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 1, 3, 0, 0, 1, 6, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 2, 11, 3, 4, 2, 0]"
Ingeniería mecánica/Elementos mecánicos,44,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Química/Ingeniería química,35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 1, 1, 3, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 2, 2, 1, 2, 2, 3, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 21, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Instrumentos/Tecnología médica,23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 13, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
